Word,Positive,Negative,Uncertainty
arguments,0,1,0
arrearage,0,1,0
arrearages,0,1,0
arrears,0,1,0
arrest,0,1,0
arrested,0,1,0
arrests,0,1,0
artificially,0,1,0
assault,0,1,0
assaulted,0,1,0
assaulting,0,1,0
assaults,0,1,0
assertions,0,1,0
assume,0,0,1
assumed,0,0,1
assumes,0,0,1
assuming,0,0,1
assumption,0,0,1
assumptions,0,0,1
assure,1,0,0
assured,1,0,0
assures,1,0,0
assuring,1,0,0
attain,1,0,0
attained,1,0,0
attaining,1,0,0
attainment,1,0,0
attainments,1,0,0
attains,1,0,0
attractive,1,0,0
attractiveness,1,0,0
attrition,0,1,0
aversely,0,1,0
backdating,0,1,0
bad,0,1,0
bail,0,1,0
bailout,0,1,0
balk,0,1,0
balked,0,1,0
bankrupt,0,1,0
bankruptcies,0,1,0
bankruptcy,0,1,0
bankrupted,0,1,0
bankrupting,0,1,0
bankrupts,0,1,0
bans,0,1,0
barred,0,1,0
barrier,0,1,0
barriers,0,1,0
beautiful,1,0,0
beautifully,1,0,0
believe,0,0,1
believed,0,0,1
believes,0,0,1
believing,0,0,1
beneficial,1,0,0
beneficially,1,0,0
benefit,1,0,0
benefited,1,0,0
benefiting,1,0,0
benefitted,1,0,0
benefitting,1,0,0
best,1,0,0
better,1,0,0
bolstered,1,0,0
bolstering,1,0,0
bolsters,1,0,0
boom,1,0,0
booming,1,0,0
boost,1,0,0
boosted,1,0,0
bottleneck,0,1,0
bottlenecks,0,1,0
boycott,0,1,0
boycotted,0,1,0
boycotting,0,1,0
boycotts,0,1,0
breach,0,1,0
breached,0,1,0
breaches,0,1,0
breaching,0,1,0
break,0,1,0
breakage,0,1,0
breakages,0,1,0
breakdown,0,1,0
breakdowns,0,1,0
breaking,0,1,0
breaks,0,1,0
breakthrough,1,0,0
breakthroughs,1,0,0
bribe,0,1,0
bribed,0,1,0
briberies,0,1,0
bribery,0,1,0
bribes,0,1,0
bribing,0,1,0
bridge,0,1,0
brilliant,1,0,0
broken,0,1,0
burden,0,1,0
burdened,0,1,0
burdening,0,1,0
burdens,0,1,0
burdensome,0,1,0
burned,0,1,0
calamities,0,1,0
calamitous,0,1,0
calamity,0,1,0
cancel,0,1,0
canceled,0,1,0
canceling,0,1,0
cancellation,0,1,0
cancellations,0,1,0
cancelled,0,1,0
cancelling,0,1,0
cancels,0,1,0
careless,0,1,0
carelessly,0,1,0
carelessness,0,1,0
catastrophe,0,1,0
catastrophes,0,1,0
catastrophic,0,1,0
catastrophically,0,1,0
caution,0,1,0
cautionary,0,1,0
cautioned,0,1,0
cautioning,0,1,0
cautions,0,1,0
cautious,0,0,1
cautiously,0,0,1
cautiousness,0,0,1
cease,0,1,0
ceased,0,1,0
ceases,0,1,0
ceasing,0,1,0
censure,0,1,0
censured,0,1,0
censures,0,1,0
censuring,0,1,0
challenge,0,1,0
challenged,0,1,0
challenges,0,1,0
challenging,0,1,0
chargeoffs,0,1,0
charitable,1,0,0
circumvent,0,1,0
circumvented,0,1,0
circumventing,0,1,0
circumvention,0,1,0
circumventions,0,1,0
circumvents,0,1,0
claiming,0,1,0
claims,0,1,0
clarification,0,0,1
clarifications,0,0,1
clawback,0,1,0
closed,0,1,0
closeout,0,1,0
closeouts,0,1,0
closing,0,1,0
closings,0,1,0
closure,0,1,0
closures,0,1,0
coerce,0,1,0
coerced,0,1,0
coerces,0,1,0
coercing,0,1,0
coercion,0,1,0
coercive,0,1,0
collaborate,1,0,0
collaborated,1,0,0
collaborates,1,0,0
collaborating,1,0,0
collaboration,1,0,0
collaborations,1,0,0
collaborative,1,0,0
collaborator,1,0,0
collaborators,1,0,0
collapse,0,1,0
collapsed,0,1,0
collapses,0,1,0
collapsing,0,1,0
collision,0,1,0
collisions,0,1,0
collude,0,1,0
colluded,0,1,0
colludes,0,1,0
colluding,0,1,0
collusion,0,1,0
collusions,0,1,0
collusive,0,1,0
complain,0,1,0
complained,0,1,0
complaining,0,1,0
complains,0,1,0
complaint,0,1,0
complaints,0,1,0
complicate,0,1,0
complicated,0,1,0
complicates,0,1,0
complicating,0,1,0
complication,0,1,0
complications,0,1,0
compliment,1,0,0
complimentary,1,0,0
complimented,1,0,0
complimenting,1,0,0
compliments,1,0,0
compulsion,0,1,0
concealed,0,1,0
concealing,0,1,0
concede,0,1,0
conceded,0,1,0
concedes,0,1,0
conceding,0,1,0
conceivable,0,0,1
conceivably,0,0,1
concern,0,1,0
concerned,0,1,0
concerns,0,1,0
conciliating,0,1,0
conciliation,0,1,0
conciliations,0,1,0
conclusive,1,0,0
conclusively,1,0,0
condemn,0,1,0
condemnation,0,1,0
condemnations,0,1,0
condemned,0,1,0
condemning,0,1,0
condemns,0,1,0
conditional,0,0,1
conditionally,0,0,1
condone,0,1,0
condoned,0,1,0
conducive,1,0,0
confess,0,1,0
confessed,0,1,0
confesses,0,1,0
confessing,0,1,0
confession,0,1,0
confident,1,0,0
confine,0,1,0
confined,0,1,0
confinement,0,1,0
confinements,0,1,0
confines,0,1,0
confining,0,1,0
confiscate,0,1,0
confiscated,0,1,0
confiscates,0,1,0
confiscating,0,1,0
confiscation,0,1,0
confiscations,0,1,0
conflict,0,1,0
conflicted,0,1,0
conflicting,0,1,0
conflicts,0,1,0
confront,0,1,0
confrontation,0,1,0
confrontational,0,1,0
confrontations,0,1,0
confronted,0,1,0
confronting,0,1,0
confronts,0,1,0
confuse,0,1,0
confused,0,1,0
confuses,0,1,1
confusing,0,1,1
confusingly,0,1,1
confusion,0,1,1
conspiracies,0,1,0
conspiracy,0,1,0
conspirator,0,1,0
conspiratorial,0,1,0
conspirators,0,1,0
conspire,0,1,0
conspired,0,1,0
conspires,0,1,0
conspiring,0,1,0
constructive,1,0,0
constructively,1,0,0
contempt,0,1,0
contend,0,1,0
contended,0,1,0
contending,0,1,0
contends,0,1,0
contention,0,1,0
contentions,0,1,0
contentious,0,1,0
contentiously,0,1,0
contested,0,1,0
contesting,0,1,0
contingencies,0,0,1
contingency,0,0,1
contingent,0,0,1
contingently,0,0,1
contingents,0,0,1
contraction,0,1,0
contractions,0,1,0
contradict,0,1,0
contradicted,0,1,0
contradicting,0,1,0
contradiction,0,1,0
contradictions,0,1,0
contradictory,0,1,0
contradicts,0,1,0
contrary,0,1,0
controversial,0,1,0
controversies,0,1,0
controversy,0,1,0
convict,0,1,0
convicted,0,1,0
convicting,0,1,0
conviction,0,1,0
convictions,0,1,0
corrected,0,1,0
correcting,0,1,0
correction,0,1,0
corrections,0,1,0
corrects,0,1,0
corrupt,0,1,0
corrupted,0,1,0
corrupting,0,1,0
corruption,0,1,0
corruptions,0,1,0
corruptly,0,1,0
corruptness,0,1,0
costly,0,1,0
could,0,0,1
counterclaim,0,1,0
counterclaimed,0,1,0
counterclaiming,0,1,0
counterclaims,0,1,0
counterfeit,0,1,0
counterfeited,0,1,0
counterfeiter,0,1,0
counterfeiters,0,1,0
counterfeiting,0,1,0
counterfeits,0,1,0
countermeasure,0,1,0
countermeasures,0,1,0
courteous,1,0,0
creative,1,0,0
creatively,1,0,0
creativeness,1,0,0
creativity,1,0,0
crime,0,1,0
crimes,0,1,0
criminal,0,1,0
criminally,0,1,0
criminals,0,1,0
crises,0,1,0
crisis,0,1,0
critical,0,1,0
critically,0,1,0
criticism,0,1,0
criticisms,0,1,0
criticize,0,1,0
criticized,0,1,0
criticizes,0,1,0
criticizing,0,1,0
crossroad,0,0,1
crossroads,0,0,1
crucial,0,1,0
crucially,0,1,0
culpability,0,1,0
culpable,0,1,0
culpably,0,1,0
cumbersome,0,1,0
curtail,0,1,0
curtailed,0,1,0
curtailing,0,1,0
curtailment,0,1,0
curtailments,0,1,0
curtails,0,1,0
cut,0,1,0
cutback,0,1,0
cutbacks,0,1,0
cyberattack,0,1,0
cyberattacks,0,1,0
cyberbullying,0,1,0
cybercrime,0,1,0
cybercrimes,0,1,0
cybercriminal,0,1,0
cybercriminals,0,1,0
damage,0,1,0
damaged,0,1,0
damages,0,1,0
damaging,0,1,0
dampen,0,1,0
dampened,0,1,0
danger,0,1,0
dangerous,0,1,0
dangerously,0,1,0
dangers,0,1,0
deadlock,0,1,0
deadlocked,0,1,0
deadlocking,0,1,0
deadlocks,0,1,0
deadweight,0,1,0
deadweights,0,1,0
debarment,0,1,0
debarments,0,1,0
debarred,0,1,0
deceased,0,1,0
deceit,0,1,0
deceitful,0,1,0
deceitfulness,0,1,0
deceive,0,1,0
deceived,0,1,0
deceives,0,1,0
deceiving,0,1,0
deception,0,1,0
deceptions,0,1,0
deceptive,0,1,0
deceptively,0,1,0
decline,0,1,0
declined,0,1,0
declines,0,1,0
declining,0,1,0
deface,0,1,0
defaced,0,1,0
defacement,0,1,0
defamation,0,1,0
defamations,0,1,0
defamatory,0,1,0
defame,0,1,0
defamed,0,1,0
defames,0,1,0
defaming,0,1,0
default,0,1,0
defaulted,0,1,0
defaulting,0,1,0
defaults,0,1,0
defeat,0,1,0
defeated,0,1,0
defeating,0,1,0
defeats,0,1,0
defect,0,1,0
defective,0,1,0
defects,0,1,0
defend,0,1,0
defendant,0,1,0
defendants,0,1,0
defended,0,1,0
defending,0,1,0
defends,0,1,0
defensive,0,1,0
defer,0,1,0
deficiencies,0,1,0
deficiency,0,1,0
deficient,0,1,0
deficit,0,1,0
deficits,0,1,0
defraud,0,1,0
defrauded,0,1,0
defrauding,0,1,0
defrauds,0,1,0
defunct,0,1,0
degradation,0,1,0
degradations,0,1,0
degrade,0,1,0
degraded,0,1,0
degrades,0,1,0
degrading,0,1,0
delay,0,1,0
delayed,0,1,0
delaying,0,1,0
delays,0,1,0
deleterious,0,1,0
deliberate,0,1,0
deliberated,0,1,0
deliberately,0,1,0
delight,1,0,0
delighted,1,0,0
delightful,1,0,0
delightfully,1,0,0
delighting,1,0,0
delights,1,0,0
delinquencies,0,1,0
delinquency,0,1,0
delinquent,0,1,0
delinquently,0,1,0
delinquents,0,1,0
delist,0,1,0
delisted,0,1,0
delisting,0,1,0
delists,0,1,0
demise,0,1,0
demised,0,1,0
demises,0,1,0
demising,0,1,0
demolish,0,1,0
demolished,0,1,0
demolishes,0,1,0
demolishing,0,1,0
demolition,0,1,0
demolitions,0,1,0
demote,0,1,0
demoted,0,1,0
demotes,0,1,0
demoting,0,1,0
demotion,0,1,0
demotions,0,1,0
denial,0,1,0
denials,0,1,0
denied,0,1,0
denies,0,1,0
denigrate,0,1,0
denigrated,0,1,0
denigrates,0,1,0
denigrating,0,1,0
denigration,0,1,0
deny,0,1,0
denying,0,1,0
depend,0,0,1
dependability,1,0,0
dependable,1,0,0
depended,0,0,1
dependence,0,0,1
dependencies,0,0,1
dependency,0,0,1
dependent,0,0,1
depending,0,0,1
depends,0,0,1
deplete,0,1,0
depleted,0,1,0
depletes,0,1,0
depleting,0,1,0
depletion,0,1,0
depletions,0,1,0
deprecation,0,1,0
depress,0,1,0
depressed,0,1,0
depresses,0,1,0
depressing,0,1,0
deprivation,0,1,0
deprive,0,1,0
deprived,0,1,0
deprives,0,1,0
depriving,0,1,0
derelict,0,1,0
dereliction,0,1,0
derogatory,0,1,0
desirable,1,0,0
desired,1,0,0
despite,1,0,0
destabilization,0,1,0
destabilize,0,1,0
destabilized,0,1,0
destabilizing,0,1,1
destined,1,0,0
destroy,0,1,0
destroyed,0,1,0
destroying,0,1,0
destroys,0,1,0
destruction,0,1,0
destructive,0,1,0
detain,0,1,0
detained,0,1,0
detention,0,1,0
detentions,0,1,0
deter,0,1,0
deteriorate,0,1,0
deteriorated,0,1,0
deteriorates,0,1,0
deteriorating,0,1,0
deterioration,0,1,0
deteriorations,0,1,0
deterred,0,1,0
deterrence,0,1,0
deterrences,0,1,0
deterrent,0,1,0
deterrents,0,1,0
deterring,0,1,0
deters,0,1,0
detract,0,1,0
detracted,0,1,0
detracting,0,1,0
detriment,0,1,0
detrimental,0,1,0
detrimentally,0,1,0
detriments,0,1,0
devalue,0,1,0
devalued,0,1,0
devalues,0,1,0
devaluing,0,1,0
devastate,0,1,0
devastated,0,1,0
devastating,0,1,0
devastation,0,1,0
deviate,0,1,1
deviated,0,1,1
deviates,0,1,1
deviating,0,1,1
deviation,0,1,1
deviations,0,1,1
devolve,0,1,0
devolved,0,1,0
devolves,0,1,0
devolving,0,1,0
differ,0,0,1
differed,0,0,1
differing,0,0,1
differs,0,0,1
difficult,0,1,0
difficulties,0,1,0
difficultly,0,1,0
difficulty,0,1,0
diligent,1,0,0
diligently,1,0,0
diminish,0,1,0
diminished,0,1,0
diminishes,0,1,0
diminishing,0,1,0
diminution,0,1,0
disadvantage,0,1,0
disadvantaged,0,1,0
disadvantageous,0,1,0
disadvantages,0,1,0
disaffiliation,0,1,0
disagree,0,1,0
disagreeable,0,1,0
disagreed,0,1,0
disagreeing,0,1,0
disagreement,0,1,0
disagreements,0,1,0
disagrees,0,1,0
disallow,0,1,0
disallowance,0,1,0
disallowances,0,1,0
disallowed,0,1,0
disallowing,0,1,0
disallows,0,1,0
disappear,0,1,0
disappearance,0,1,0
disappearances,0,1,0
disappeared,0,1,0
disappearing,0,1,0
disappears,0,1,0
disappoint,0,1,0
disappointed,0,1,0
disappointing,0,1,0
disappointingly,0,1,0
disappointment,0,1,0
disappointments,0,1,0
disappoints,0,1,0
disapproval,0,1,0
disapprovals,0,1,0
disapprove,0,1,0
disapproved,0,1,0
disapproves,0,1,0
disapproving,0,1,0
disassociates,0,1,0
disassociating,0,1,0
disassociation,0,1,0
disassociations,0,1,0
disaster,0,1,0
disasters,0,1,0
disastrous,0,1,0
disastrously,0,1,0
disavow,0,1,0
disavowal,0,1,0
disavowed,0,1,0
disavowing,0,1,0
disavows,0,1,0
disciplinary,0,1,0
disclaim,0,1,0
disclaimed,0,1,0
disclaimer,0,1,0
disclaimers,0,1,0
disclaiming,0,1,0
disclaims,0,1,0
disclose,0,1,0
disclosed,0,1,0
discloses,0,1,0
disclosing,0,1,0
discontinuance,0,1,0
discontinuances,0,1,0
discontinuation,0,1,0
discontinuations,0,1,0
discontinue,0,1,0
discontinued,0,1,0
discontinues,0,1,0
discontinuing,0,1,0
discourage,0,1,0
discouraged,0,1,0
discourages,0,1,0
discouraging,0,1,0
discredit,0,1,0
discredited,0,1,0
discrediting,0,1,0
discredits,0,1,0
discrepancies,0,1,0
discrepancy,0,1,0
disfavor,0,1,0
disfavored,0,1,0
disfavoring,0,1,0
disfavors,0,1,0
disgorge,0,1,0
disgorged,0,1,0
disgorgement,0,1,0
disgorgements,0,1,0
disgorges,0,1,0
disgorging,0,1,0
disgrace,0,1,0
disgraceful,0,1,0
disgracefully,0,1,0
dishonest,0,1,0
dishonestly,0,1,0
dishonesty,0,1,0
dishonor,0,1,0
dishonorable,0,1,0
dishonorably,0,1,0
dishonored,0,1,0
dishonoring,0,1,0
dishonors,0,1,0
disincentives,0,1,0
disinterested,0,1,0
disinterestedly,0,1,0
disinterestedness,0,1,0
disloyal,0,1,0
disloyally,0,1,0
disloyalty,0,1,0
dismal,0,1,0
dismally,0,1,0
dismiss,0,1,0
dismissal,0,1,0
dismissals,0,1,0
dismissed,0,1,0
dismisses,0,1,0
dismissing,0,1,0
disorderly,0,1,0
disparage,0,1,0
disparaged,0,1,0
disparagement,0,1,0
disparagements,0,1,0
disparages,0,1,0
disparaging,0,1,0
disparagingly,0,1,0
disparities,0,1,0
disparity,0,1,0
displace,0,1,0
displaced,0,1,0
displacement,0,1,0
displacements,0,1,0
displaces,0,1,0
displacing,0,1,0
dispose,0,1,0
dispossess,0,1,0
dispossessed,0,1,0
dispossesses,0,1,0
dispossessing,0,1,0
disproportion,0,1,0
disproportional,0,1,0
disproportionate,0,1,0
disproportionately,0,1,0
dispute,0,1,0
disputed,0,1,0
disputes,0,1,0
disputing,0,1,0
disqualification,0,1,0
disqualifications,0,1,0
disqualified,0,1,0
disqualifies,0,1,0
disqualify,0,1,0
disqualifying,0,1,0
disregard,0,1,0
disregarded,0,1,0
disregarding,0,1,0
disregards,0,1,0
disreputable,0,1,0
disrepute,0,1,0
disrupt,0,1,0
disrupted,0,1,0
disrupting,0,1,0
disruption,0,1,0
disruptions,0,1,0
disruptive,0,1,0
disrupts,0,1,0
dissatisfaction,0,1,0
dissatisfied,0,1,0
dissent,0,1,0
dissented,0,1,0
dissenter,0,1,0
dissenters,0,1,0
dissenting,0,1,0
dissents,0,1,0
dissident,0,1,0
dissidents,0,1,0
dissolution,0,1,0
dissolutions,0,1,0
distinction,1,0,0
distinctions,1,0,0
distinctive,1,0,0
distinctively,1,0,0
distinctiveness,1,0,0
distort,0,1,0
distorted,0,1,0
distorting,0,1,0
distortion,0,1,0
distortions,0,1,0
distorts,0,1,0
distract,0,1,0
distracted,0,1,0
distracting,0,1,0
distraction,0,1,0
distractions,0,1,0
distracts,0,1,0
distress,0,1,0
distressed,0,1,0
disturb,0,1,0
disturbance,0,1,0
disturbances,0,1,0
disturbed,0,1,0
disturbing,0,1,0
disturbs,0,1,0
diversion,0,1,0
divert,0,1,0
diverted,0,1,0
diverting,0,1,0
diverts,0,1,0
divest,0,1,0
divested,0,1,0
divesting,0,1,0
divestiture,0,1,0
divestitures,0,1,0
divestment,0,1,0
divestments,0,1,0
divests,0,1,0
divorce,0,1,0
divorced,0,1,0
divulge,0,1,0
divulged,0,1,0
divulges,0,1,0
divulging,0,1,0
doubt,0,1,1
doubted,0,1,1
doubtful,0,1,1
doubts,0,1,1
downgrade,0,1,0
downgraded,0,1,0
downgrades,0,1,0
downgrading,0,1,0
downsize,0,1,0
downsized,0,1,0
downsizes,0,1,0
downsizing,0,1,0
downsizings,0,1,0
downtime,0,1,0
downtimes,0,1,0
downturn,0,1,0
downturns,0,1,0
downward,0,1,0
downwards,0,1,0
drag,0,1,0
drastic,0,1,0
drastically,0,1,0
drawback,0,1,0
drawbacks,0,1,0
dream,1,0,0
dropped,0,1,0
drought,0,1,0
droughts,0,1,0
duress,0,1,0
dysfunction,0,1,0
dysfunctional,0,1,0
dysfunctions,0,1,0
easier,1,0,0
easily,1,0,0
easing,0,1,0
easy,1,0,0
effective,1,0,0
efficiencies,1,0,0
efficiency,1,0,0
efficient,1,0,0
efficiently,1,0,0
egregious,0,1,0
egregiously,0,1,0
embargo,0,1,0
embargoed,0,1,0
embargoes,0,1,0
embargoing,0,1,0
embarrass,0,1,0
embarrassed,0,1,0
embarrasses,0,1,0
embarrassing,0,1,0
embarrassment,0,1,0
embarrassments,0,1,0
embezzle,0,1,0
embezzled,0,1,0
embezzlement,0,1,0
embezzlements,0,1,0
embezzler,0,1,0
embezzles,0,1,0
embezzling,0,1,0
empower,1,0,0
empowered,1,0,0
empowering,1,0,0
empowers,1,0,0
enable,1,0,0
enabled,1,0,0
enables,1,0,0
enabling,1,0,0
encouraged,1,0,0
encouragement,1,0,0
encourages,1,0,0
encouraging,1,0,0
encroach,0,1,0
encroached,0,1,0
encroaches,0,1,0
encroaching,0,1,0
encroachment,0,1,0
encroachments,0,1,0
encumber,0,1,0
encumbered,0,1,0
encumbering,0,1,0
encumbers,0,1,0
encumbrance,0,1,0
encumbrances,0,1,0
endanger,0,1,0
endangered,0,1,0
endangering,0,1,0
endangerment,0,1,0
endangers,0,1,0
enhance,1,0,0
enhanced,1,0,0
enhancement,1,0,0
enhancements,1,0,0
enhances,1,0,0
enhancing,1,0,0
enjoin,0,1,0
enjoined,0,1,0
enjoining,0,1,0
enjoins,0,1,0
enjoy,1,0,0
enjoyable,1,0,0
enjoyably,1,0,0
enjoyed,1,0,0
enjoying,1,0,0
enjoyment,1,0,0
enjoys,1,0,0
enthusiasm,1,0,0
enthusiastic,1,0,0
enthusiastically,1,0,0
erode,0,1,0
eroded,0,1,0
erodes,0,1,0
eroding,0,1,0
erosion,0,1,0
erratic,0,1,0
erratically,0,1,0
erred,0,1,0
erring,0,1,0
erroneous,0,1,0
erroneously,0,1,0
error,0,1,0
errors,0,1,0
errs,0,1,0
escalate,0,1,0
escalated,0,1,0
escalates,0,1,0
escalating,0,1,0
evade,0,1,0
evaded,0,1,0
evades,0,1,0
evading,0,1,0
evasion,0,1,0
evasions,0,1,0
evasive,0,1,0
evict,0,1,0
evicted,0,1,0
evicting,0,1,0
eviction,0,1,0
evictions,0,1,0
evicts,0,1,0
exacerbate,0,1,0
exacerbated,0,1,0
exacerbates,0,1,0
exacerbating,0,1,0
exacerbation,0,1,0
exacerbations,0,1,0
exaggerate,0,1,0
exaggerated,0,1,0
exaggerates,0,1,0
exaggerating,0,1,0
exaggeration,0,1,0
excellence,1,0,0
excellent,1,0,0
excelling,1,0,0
excels,1,0,0
exceptional,1,0,0
exceptionally,1,0,0
excessive,0,1,0
excessively,0,1,0
excited,1,0,0
excitement,1,0,0
exciting,1,0,0
exclusive,1,0,0
exclusively,1,0,0
exclusiveness,1,0,0
exclusives,1,0,0
exclusivity,1,0,0
exculpate,0,1,0
exculpated,0,1,0
exculpates,0,1,0
exculpating,0,1,0
exculpation,0,1,0
exculpations,0,1,0
exculpatory,0,1,0
exemplary,1,0,0
exonerate,0,1,0
exonerated,0,1,0
exonerates,0,1,0
exonerating,0,1,0
exoneration,0,1,0
exonerations,0,1,0
exploit,0,1,0
exploitation,0,1,0
exploitations,0,1,0
exploitative,0,1,0
exploited,0,1,0
exploiting,0,1,0
exploits,0,1,0
expose,0,1,0
exposed,0,1,0
exposes,0,1,0
exposing,0,1,0
exposure,0,0,1
exposures,0,0,1
expropriate,0,1,0
expropriated,0,1,0
expropriates,0,1,0
expropriating,0,1,0
expropriation,0,1,0
expropriations,0,1,0
expulsion,0,1,0
expulsions,0,1,0
extenuating,0,1,0
fail,0,1,0
failed,0,1,0
failing,0,1,0
failings,0,1,0
fails,0,1,0
failure,0,1,0
failures,0,1,0
fallout,0,1,0
false,0,1,0
falsely,0,1,0
falsification,0,1,0
falsifications,0,1,0
falsified,0,1,0
falsifies,0,1,0
falsify,0,1,0
falsifying,0,1,0
falsity,0,1,0
fantastic,1,0,0
fatalities,0,1,0
fatality,0,1,0
fatally,0,1,0
fault,0,1,0
faulted,0,1,0
faults,0,1,0
faulty,0,1,0
favorable,1,0,0
favorably,1,0,0
favored,1,0,0
favoring,1,0,0
favorite,1,0,0
favorites,1,0,0
fear,0,1,0
fears,0,1,0
felonies,0,1,0
felonious,0,1,0
felony,0,1,0
fictitious,0,1,0
fined,0,1,0
fines,0,1,0
fired,0,1,0
firing,0,1,0
flaw,0,1,0
flawed,0,1,0
flaws,0,1,0
fluctuate,0,0,1
fluctuated,0,0,1
fluctuates,0,0,1
fluctuating,0,0,1
fluctuation,0,0,1
fluctuations,0,0,1
forbid,0,1,0
forbidden,0,1,0
forbidding,0,1,0
forbids,0,1,0
force,0,1,0
forced,0,1,0
forcing,0,1,0
foreclose,0,1,0
foreclosed,0,1,0
forecloses,0,1,0
foreclosing,0,1,0
foreclosure,0,1,0
foreclosures,0,1,0
forego,0,1,0
foregoes,0,1,0
foregone,0,1,0
forestall,0,1,0
forestalled,0,1,0
forestalling,0,1,0
forestalls,0,1,0
forfeit,0,1,0
forfeited,0,1,0
forfeiting,0,1,0
forfeits,0,1,0
forfeiture,0,1,0
forfeitures,0,1,0
forgers,0,1,0
forgery,0,1,0
fraud,0,1,0
frauds,0,1,0
fraudulence,0,1,0
fraudulent,0,1,0
fraudulently,0,1,0
friendly,1,0,0
frivolous,0,1,0
frivolously,0,1,0
frustrate,0,1,0
frustrated,0,1,0
frustrates,0,1,0
frustrating,0,1,0
frustratingly,0,1,0
frustration,0,1,0
frustrations,0,1,0
fugitive,0,1,0
fugitives,0,1,0
gain,1,0,0
gained,1,0,0
gaining,1,0,0
gains,1,0,0
good,1,0,0
gratuitous,0,1,0
gratuitously,0,1,0
great,1,0,0
greater,1,0,0
greatest,1,0,0
greatly,1,0,0
greatness,1,0,0
grievance,0,1,0
grievances,0,1,0
grossly,0,1,0
groundless,0,1,0
guilty,0,1,0
halt,0,1,0
halted,0,1,0
hamper,0,1,0
hampered,0,1,0
hampering,0,1,0
